sample_group,feature,selection_count,selection_rate_over_logs,unique_instances_selected,n_instances_in_group,instance_frequency
ALL,addr1,910,0.91,910,1000,0.91
ALL,ProductCD,542,0.542,542,1000,0.542
ALL,TransactionAmt,316,0.316,316,1000,0.316
ALL,card6,139,0.139,139,1000,0.139
ALL,card4,59,0.059,59,1000,0.059
ALL,dist1,34,0.034,34,1000,0.034
FP,addr1,431,0.862,431,500,0.862
FP,TransactionAmt,218,0.436,218,500,0.436
FP,ProductCD,187,0.374,187,500,0.374
FP,card6,110,0.22,110,500,0.22
FP,card4,38,0.076,38,500,0.076
FP,dist1,16,0.032,16,500,0.032
TP,addr1,479,0.958,479,500,0.958
TP,ProductCD,355,0.71,355,500,0.71
TP,TransactionAmt,98,0.196,98,500,0.196
TP,card6,29,0.058,29,500,0.058
TP,card4,21,0.042,21,500,0.042
TP,dist1,18,0.036,18,500,0.036
